physics_marks,math_marks,english_marks,total_score
73,73,40,186
54,96,66,216
46,97,48,191
42,91,80,213
54,30,63,147
97,46,89,232
39,45,82,166
96,38,41,175
47,82,91,220
63,88,95,246
37,38,77,152
69,41,69,179
71,70,53,194
70,44,79,193
35,95,97,227
81,40,72,193
55,37,46,138
93,84,84,261
88,35,63,186
85,82,99,266
88,49,89,226
99,68,80,247
62,63,64,189
82,86,63,231
51,48,45,144
50,60,47,157
99,69,67,235
99,43,72,214
33,66,61,160
91,73,36,200
91,38,75,204
53,87,90,230
84,49,47,180
38,79,69,186
32,49,79,160
60,65,34,159
69,56,83,208
65,61,87,213
53,30,51,134
35,46,67,148
95,38,78,211
33,74,30,137
35,95,65,195
80,61,57,198
91,74,64,229
86,38,89,213
95,59,91,245
37,67,75,179
55,89,90,234
80,30,94,204
74,34,55,163
73,92,64,229
34,65,86,185
99,94,92,285
55,53,33,141
97,33,71,201
48,97,74,219
49,54,68,171
41,36,94,171
76,42,51,169
30,97,40,167
43,72,66,181
93,86,80,259
67,65,87,219
66,43,36,145
40,56,37,133
32,66,80,178
62,54,52,168
35,96,38,169
79,33,75,187
39,45,67,151
34,48,42,124
52,58,36,146
39,80,40,159
73,47,79,199
31,87,96,214
42,73,70,185
69,45,58,172
31,94,66,191
94,31,85,210
92,85,45,222
46,57,73,176
38,94,79,211
44,34,35,113
53,51,47,151
67,42,48,157
64,94,80,238
78,45,95,218
98,93,32,223
91,61,83,235
89,80,78,247
79,87,57,223
38,75,67,180
63,81,57,201
64,92,61,217
30,89,70,189
69,94,65,228
93,84,65,242
51,86,95,232
89,55,39,183
93,41,99,233
40,75,92,207
43,76,51,170
89,67,49,205
59,50,62,171
64,43,44,151
66,31,36,133
34,99,79,212
55,62,39,156
91,35,66,192
33,66,88,187
71,43,92,206
47,66,50,163
69,37,66,172
68,42,74,184
43,69,43,155
61,87,72,220
80,47,62,189
67,86,32,185
52,67,73,192
92,61,64,217
44,95,54,193
54,54,37,145
46,87,91,224
95,62,47,204
82,95,57,234
80,59,41,180
68,63,93,224
80,98,31,209
99,77,88,264
35,69,66,170
96,80,33,209
36,42,70,148
80,60,74,214
71,68,63,202
93,92,42,227
44,77,36,157
58,77,61,196
62,90,52,204
56,41,78,175
65,85,76,226
58,47,66,171
67,56,77,200
86,57,58,201
56,81,66,203
84,45,52,181
62,87,67,216
97,38,73,208
95,55,34,184
39,57,81,177
34,65,69,168
67,38,40,145
42,76,31,149
60,80,64,204
76,86,74,236
81,61,78,220
85,96,64,245
44,86,61,191
58,83,97,238
37,45,68,150
34,91,77,202
58,85,66,209
76,52,89,217
97,46,33,176
74,67,52,193
31,59,43,133
56,87,34,177
65,51,95,211
65,46,53,164
55,44,47,146
72,77,56,205
56,61,53,170
98,69,58,225
49,86,40,175
40,87,47,174
67,45,33,145
35,57,62,154
52,30,71,153
76,70,61,207
75,77,80,232
41,60,33,134
42,65,49,156
91,62,96,249
89,62,97,248
72,52,91,215
97,89,87,273
34,59,76,169
66,74,88,228
60,68,35,163
38,74,69,181
80,41,52,173
58,61,81,200
69,85,33,187
70,53,66,189
40,42,71,153
52,49,73,174
30,85,71,186
75,82,58,215
50,97,48,195
65,83,61,209
83,63,73,219
86,57,84,227
30,79,34,143
92,31,75,198
83,55,74,212
84,80,50,214
69,76,51,196
44,55,59,158
50,90,52,192
76,52,34,162
82,66,92,240
38,70,88,196
81,81,81,243
86,78,94,258
55,56,68,179
70,35,32,137
64,95,71,230
92,53,56,201
54,67,57,178
67,57,83,207
31,57,44,132
36,95,82,213
63,90,99,252
46,75,33,154
72,98,46,216
88,72,63,223
80,88,35,203
83,31,65,179
53,44,68,165
54,66,95,215
81,49,37,167
99,64,44,207
62,63,92,217
78,60,94,232
58,48,88,194
92,97,39,228
51,53,36,140
55,68,41,164
57,83,75,215
78,68,61,207
78,46,61,185
49,48,90,187
92,77,98,267
90,64,90,244
78,61,75,214
30,76,97,203
42,76,84,202
80,93,30,203
85,75,96,256
91,64,78,233
61,46,54,161
59,71,45,175
58,58,42,158
78,99,81,258
74,46,65,185
59,43,73,175
45,53,76,174
69,86,49,204
48,79,47,174
47,86,83,216
30,90,41,161
76,68,54,198
95,84,89,268
67,65,63,195
80,66,42,188
92,43,67,202
33,56,41,130
30,60,65,155
37,73,57,167
58,97,68,223
84,77,72,233
32,86,60,178
61,51,31,143
39,33,71,143
63,75,60,198
84,88,90,262
61,63,85,209
79,40,43,162
36,60,43,139
37,40,58,135
94,85,79,258
86,67,79,232
96,50,92,238
88,39,94,221
83,55,97,235
96,37,40,173
80,37,43,160
37,89,32,158
63,63,37,163
64,45,72,181
61,42,38,141
75,51,48,174
45,56,41,142
97,93,56,246
66,31,87,184
83,55,54,192
43,98,74,215
84,59,77,220
77,37,79,193
36,67,73,176
36,90,88,214
62,94,62,218
52,96,57,205
48,75,47,170
48,72,84,204
65,88,62,215
58,75,44,177
89,64,90,243
31,68,40,139
30,80,65,175
76,33,44,153
98,80,82,260
49,34,91,174
40,84,77,201
31,49,44,124
96,53,92,241
41,65,72,178
49,63,79,191
34,83,89,206
66,63,88,217
67,46,44,157
38,34,58,130
82,47,69,198
73,84,60,217
53,82,40,175
59,79,91,229
88,74,37,199
43,42,80,165
38,45,86,169
69,42,33,144
95,49,65,209
54,95,48,197
51,76,53,180
33,48,70,151
55,74,78,207
87,66,75,228
58,83,65,206
66,35,39,140
99,43,36,178
47,33,41,121
71,84,77,232
70,63,66,199
67,56,65,188
63,36,89,188
46,32,37,115
66,76,36,178
54,31,72,157
56,54,87,197
86,89,75,250
60,53,63,176
35,44,51,130
69,43,50,162
41,83,44,168
82,35,34,151
39,47,46,132
74,49,48,171
46,91,34,171
55,69,52,176
91,68,43,202
75,81,39,195
93,61,60,214
31,56,42,129
83,81,51,215
94,92,66,252
80,92,68,240
82,46,39,167
65,78,60,203
55,52,72,179
58,42,65,165
50,52,64,166
40,86,97,223
69,91,84,244
40,83,97,220
65,49,76,190
88,81,35,204
68,52,57,177
83,64,59,206
84,96,56,236
53,63,98,214
51,62,68,181
98,75,64,237
85,74,73,232
62,48,44,154
65,44,61,170
49,95,58,202
91,68,92,251
55,47,35,137
95,99,56,250
69,88,57,214
46,61,34,141
30,50,70,150
90,69,85,244
72,56,83,211
71,31,47,149
54,68,72,194
68,85,58,211
64,42,39,145
32,85,35,152
73,95,33,201
80,85,63,228
41,57,62,160
48,93,33,174
73,93,73,239
88,85,60,233
78,70,95,243
90,70,87,247
46,33,89,168
86,86,31,203
84,59,65,208
76,75,99,250
41,85,89,215
91,60,52,203
37,36,76,149
50,83,75,208
99,37,73,209
54,84,48,186
41,98,78,217
44,73,87,204
88,42,36,166
55,49,70,174
55,61,44,160
76,89,82,247
61,79,52,192
39,56,94,189
45,54,89,188
46,81,39,166
52,97,87,236
55,50,76,181
36,47,44,127
43,68,38,149
36,44,42,122
38,82,52,172
77,67,62,206
88,77,38,203
68,81,32,181
47,57,54,158
88,45,65,198
46,45,49,140
43,64,83,190
60,46,48,154
53,81,89,223
89,41,66,196
74,77,32,183
32,51,48,131
66,78,82,226
72,81,75,228
69,30,85,184
84,95,99,278
68,93,60,221
44,37,82,163
33,54,63,150
54,95,60,209
42,99,89,230
62,80,40,182
45,82,35,162
71,44,56,171
95,79,36,210
84,67,78,229
71,69,89,229
63,95,62,220
59,68,76,203
42,46,73,161
42,36,56,134
47,68,51,166
61,97,76,234
68,64,77,209
75,80,59,214
58,76,31,165
91,65,44,200
91,93,76,260
86,42,56,184
45,47,56,148
85,50,42,177
39,94,84,217
59,37,46,142
54,77,88,219
34,72,39,145
94,82,62,238
78,56,66,200
32,48,37,117
74,52,62,188
43,79,36,158
59,80,63,202
97,72,36,205
47,80,70,197
91,98,84,273
66,70,36,172
54,40,47,141
77,81,72,230
94,52,69,215
82,78,82,242
44,67,43,154
78,76,50,204
97,36,86,219
41,95,75,211
88,91,55,234
66,58,53,177
90,67,34,191
72,62,71,205
99,58,72,229
68,52,61,181
85,32,35,152
92,74,96,262
75,37,36,148
40,58,58,156
91,31,63,185
54,79,36,169
81,94,87,262
33,49,60,142
88,81,74,243
49,66,76,191
92,56,69,217
83,76,59,218
86,35,91,212
70,89,46,205
32,74,34,140
35,73,30,138
34,47,60,141
34,94,64,192
83,54,59,196
76,56,44,176
78,36,85,199
38,73,89,200
49,58,56,163
90,73,31,194
64,65,93,222
79,48,34,161
91,35,97,223
46,54,42,142
32,60,52,144
61,38,79,178
42,66,66,174
97,56,59,212
43,42,52,137
40,70,63,173
85,95,93,273
96,53,84,233
58,73,38,169
38,89,33,160
96,38,95,229
54,31,62,147
71,85,61,217
38,59,73,170
69,51,66,186
54,42,96,192
34,45,89,168
40,74,88,202
88,94,65,247
67,40,78,185
34,99,80,213
77,49,37,163
47,92,79,218
99,41,70,210
66,91,67,224
89,71,84,244
77,98,97,272
57,87,47,191
98,34,94,226
69,56,93,218
74,57,41,172
91,55,70,216
87,78,71,236
96,50,89,235
85,30,79,194
69,87,65,221
69,84,77,230
62,55,37,154
35,54,54,143
48,62,36,146
69,98,37,204
88,35,60,183
88,52,41,181
77,59,86,222
70,83,95,248
42,40,41,123
74,60,56,190
82,35,75,192
71,40,36,147
92,41,90,223
56,95,87,238
67,82,87,236
89,65,42,196
36,46,82,164
34,57,94,185
74,51,78,203
87,36,64,187
60,44,46,150
52,40,96,188
71,53,39,163
39,96,63,198
61,59,33,153
82,99,58,239
59,95,75,229
68,90,75,233
60,70,88,218
31,80,90,201
41,73,97,211
68,42,95,205
95,41,63,199
42,38,34,114
75,77,38,190
56,78,49,183
46,82,50,178
89,85,46,220
93,69,41,203
64,53,96,213
99,62,34,195
59,52,89,200
92,83,82,257
57,82,81,220
89,78,77,244
66,78,48,192
51,89,46,186
97,94,83,274
49,61,97,207
97,50,64,211
93,47,70,210
46,89,42,177
41,42,62,145
51,53,44,148
46,59,92,197
39,31,44,114
94,54,60,208
51,79,57,187
79,43,39,161
43,35,86,164
93,59,62,214
76,59,36,171
58,67,34,159
65,87,86,238
81,70,69,220
36,86,57,179
58,65,65,188
40,93,85,218
62,45,76,183
35,43,69,147
61,60,88,209
80,95,72,247
87,97,95,279
55,94,38,187
75,84,35,194
58,69,94,221
33,54,32,119
42,54,66,162
68,32,62,162
44,98,38,180
58,55,82,195
58,69,80,207
61,67,55,183
31,67,45,143
76,97,69,242
51,36,80,167
56,59,68,183
96,48,84,228
85,64,65,214
50,62,94,206
76,62,74,212
88,67,38,193
35,39,66,140
48,86,30,164
86,57,95,238
98,67,92,257
32,45,72,149
30,50,57,137
87,35,60,182
67,70,98,235
44,44,37,125
63,32,63,158
90,72,78,240
64,76,87,227
93,43,76,212
54,95,54,203
53,58,32,143
41,33,74,148
47,55,81,183
44,41,63,148
56,31,98,185
89,46,37,172
75,64,56,195
46,39,92,177
82,72,54,208
37,50,87,174
56,44,77,177
75,64,30,169
79,89,37,205
32,73,50,155
93,34,58,185
73,47,59,179
82,50,32,164
53,80,36,169
89,70,40,199
32,53,61,146
49,53,88,190
75,67,41,183
44,73,67,184
54,86,53,193
46,88,94,228
38,63,47,148
67,52,75,194
77,72,85,234
89,69,92,250
92,76,36,204
31,70,95,196
40,76,69,185
93,49,83,225
50,94,60,204
47,97,81,225
93,53,60,206
67,65,63,195
61,74,36,171
40,31,45,116
74,57,51,182
62,55,82,199
70,52,46,168
37,65,33,135
40,35,90,165
80,64,81,225
70,67,64,201
46,64,73,183
75,82,44,201
61,67,90,218
83,88,73,244
49,72,50,171
62,33,76,171
69,34,78,181
61,97,82,240
31,74,56,161
62,54,60,176
59,40,73,172
62,58,61,181
55,63,59,177
51,43,47,141
95,53,92,240
67,88,45,200
75,68,64,207
44,55,91,190
73,72,38,183
78,65,91,234
90,68,68,226
96,90,80,266
35,45,39,119
38,88,81,207
35,35,41,111
61,85,91,237
70,37,32,139
37,56,40,133
79,56,37,172
91,75,52,218
91,70,39,200
36,54,47,137
33,47,68,148
35,41,55,131
87,80,40,207
51,68,39,158
55,39,32,126
32,83,91,206
70,58,90,218
89,70,33,192
43,38,90,171
41,92,37,170
41,66,42,149
42,43,41,126
54,68,64,186
74,69,83,226
48,83,80,211
84,32,72,188
74,84,95,253
37,62,44,143
82,48,78,208
84,63,63,210
61,79,68,208
80,76,55,211
73,75,98,246
99,85,77,261
47,86,80,213
51,80,33,164
66,83,56,205
85,57,71,213
88,48,85,221
32,56,98,186
57,77,47,181
64,48,90,202
90,80,33,203
83,36,30,149
92,58,79,229
36,72,99,207
78,98,49,225
60,87,49,196
87,37,75,199
90,71,56,217
53,71,55,179
49,42,61,152
66,55,39,160
33,47,41,121
49,71,53,173
89,80,80,249
53,45,67,165
79,32,75,186
78,74,37,189
80,51,84,215
65,52,60,177
95,88,45,228
63,91,49,203
65,97,67,229
35,83,44,162
68,86,63,217
71,52,48,171
87,89,98,274
41,84,92,217
32,92,61,185
47,85,66,198
69,84,95,248
50,54,36,140
44,55,77,176
55,78,40,173
37,92,60,189
71,74,73,218
73,68,74,215
43,94,85,222
31,98,61,190
66,85,50,201
98,38,60,196
67,99,30,196
70,57,40,167
91,74,97,262
89,55,65,209
43,57,88,188
31,69,96,196
99,44,85,228
46,35,80,161
57,56,58,171
95,67,31,193
64,97,35,196
34,93,60,187
94,59,83,236
69,32,69,170
85,91,46,222
65,41,34,140
74,59,31,164
52,67,87,206
76,89,41,206
60,67,34,161
40,44,89,173
39,47,70,156
96,81,49,226
43,58,30,131
39,89,85,213
30,50,99,179
34,46,85,165
49,47,83,179
37,86,40,163
72,66,32,170
30,89,57,176
86,67,34,187
93,41,45,179
57,30,60,147
66,87,57,210
76,32,36,144
66,92,38,196
78,50,68,196
73,52,72,197
85,38,56,179
57,84,62,203
35,48,85,168
90,91,31,212
49,68,43,160
31,56,42,129
66,75,53,194
49,63,98,210
55,62,63,180
58,79,48,185
30,49,59,138
64,69,78,211
99,87,72,258
88,60,45,193
98,67,81,246
62,74,78,214
80,70,40,190
41,38,76,155
49,38,64,151
82,92,58,232
72,51,83,206
79,45,52,176
58,61,53,172
86,95,39,220
68,43,90,201
85,67,37,189
72,37,77,186
79,50,58,187
52,85,55,192
73,75,66,214
67,72,81,220
52,75,67,194
74,77,35,186
81,99,37,217
79,60,46,185
37,62,91,190
30,73,63,166
37,37,48,122
58,31,99,188
34,46,66,146
76,81,67,224
63,74,44,181
94,66,69,229
84,71,38,193
72,73,82,227
59,67,99,225
46,35,95,176
55,97,81,233
37,80,30,147
76,64,59,199
75,87,30,192
97,86,68,251
62,35,45,142
30,42,46,118
48,88,51,187
60,59,60,179
43,31,69,143
82,87,56,225
77,65,65,207
98,74,33,205
91,38,98,227
95,94,54,243
93,79,59,231
99,61,76,236
92,72,41,205
62,83,56,201
70,76,74,220
77,43,92,212
42,77,84,203
60,84,59,203
97,58,43,198
33,76,85,194
48,92,48,188
99,48,55,202
42,38,67,147
52,66,98,216
30,81,65,176
83,86,47,216
44,57,86,187
94,65,52,211
44,93,43,180
50,47,98,195
48,64,51,163
89,97,57,243
62,68,72,202
78,37,47,162
64,44,65,173
73,36,36,145
40,46,52,138
95,93,63,251
75,41,50,166
38,85,99,222
32,75,76,183
55,76,82,213
77,45,70,192
95,98,61,254
99,31,43,173
57,83,46,186
55,56,54,165
54,60,93,207
41,70,77,188
34,65,64,163
77,76,66,219
66,72,84,222
73,94,46,213
44,79,57,180
72,30,30,132
77,86,82,245
99,45,84,228
75,57,90,222
72,51,42,165
50,70,76,196
52,48,93,193
76,79,61,216
44,88,57,189
54,98,82,234
65,63,60,188
80,68,37,185
44,36,54,134
97,81,62,240
50,89,97,236
42,81,36,159
48,53,95,196
63,55,75,193
97,39,34,170
81,46,46,173
56,31,81,168
58,56,41,155
57,77,91,225
64,38,64,166
37,52,91,180
45,56,50,151
65,72,95,232
59,36,82,177
47,92,50,189
31,73,44,148
78,68,52,198
33,69,60,162
36,36,83,155
68,99,84,251
42,54,55,151
60,88,82,230
92,42,95,229
85,91,68,244
71,37,36,144
90,74,68,232
71,47,61,179
85,89,55,229
65,89,58,212
97,31,54,182
36,95,85,216
83,43,60,186
30,77,95,202
73,85,31,189
74,41,76,191
76,84,58,218
42,57,78,177
51,33,61,145
50,65,59,174
38,79,44,161
55,32,91,178
38,30,46,114
44,46,51,141
39,91,59,189
71,77,45,193
53,91,81,225
78,98,37,213
55,48,93,196
66,63,68,197
97,78,60,235
79,76,41,196
53,79,62,194
48,55,87,190
89,85,41,215
68,43,54,165
47,54,67,168
48,33,77,158
65,61,84,210
84,94,32,210
98,90,98,286
76,49,64,189
78,39,80,197
62,63,56,181
50,90,66,206
